file_name,seed,ni sta,ni dyn,td,rd,time
h100r201.csv,1,10,1,1691.5728423119176,0,1.6627411842346191
h100r201.csv,1,10,2,1617.5827780973307,0,1.9033799171447754
h100r201.csv,1,10,5,1557.86531227467,0,3.1302826404571533
h100r201.csv,1,10,10,1446.0126853177517,0,6.480950593948364
h100r201.csv,1,10,20,1547.750692184114,0,18.51923394203186
h100r201.csv,1,10,30,1525.7767135121412,0,36.789912700653076
h100r201.csv,1,20,1,1522.7534985507266,0,1.9708168506622314
h100r201.csv,1,20,2,1545.8791881868076,0,2.2010412216186523
h100r201.csv,1,20,5,1469.2700300051488,0,3.4700844287872314
h100r201.csv,1,20,10,1440.39691795884,0,6.885651588439941
h100r201.csv,1,20,20,1512.0407472248328,0,18.33516550064087
h100r201.csv,1,20,30,1360.376027033508,0,37.84516453742981
h100r201.csv,1,50,1,1285.5674235867714,0,4.610123872756958
h100r201.csv,1,50,2,1347.1138450643348,0,5.144838571548462
h100r201.csv,1,50,5,1243.9802729782432,0,6.387924671173096
h100r201.csv,1,50,10,1339.0919247624565,0,9.910261154174805
h100r201.csv,1,50,20,1384.8917955203872,0,22.373390197753906
h100r201.csv,1,50,30,1400.631427482555,0,42.0866379737854
h100r201.csv,1,100,1,1410.6925940822966,0,16.941954135894775
h100r201.csv,1,100,2,1433.2319112171688,0,15.522237300872803
h100r201.csv,1,100,5,1426.823692008013,0,16.937401294708252
h100r201.csv,1,100,10,1431.0738514758336,0,22.72201704978943
h100r201.csv,1,100,20,1437.831987933932,0,34.0735182762146
h100r201.csv,1,100,30,1505.975980687225,0,57.48560357093811
h100r201.csv,2,10,1,1431.718168543272,0,1.8071889877319336
h100r201.csv,2,10,2,1416.73280536022,0,2.5147361755371094
h100r201.csv,2,10,5,1373.9272504113844,0,3.758589029312134
h100r201.csv,2,10,10,1294.921753774879,0,7.634390592575073
h100r201.csv,2,10,20,1367.1480154824021,0,19.54800009727478
h100r201.csv,2,10,30,1373.9272504113844,0,40.33686065673828
h100r201.csv,2,20,1,1227.089712650107,0,2.045461893081665
h100c201.csv,1,10,1,1330.4221428410206,0,7.087874412536621
h100c201.csv,1,10,2,1262.0693831815458,0,7.887677907943726
h100c201.csv,1,10,5,1363.6866749890646,0,12.808274984359741
h100c201.csv,1,10,10,1295.577709170004,0,25.50144600868225
h100c201.csv,1,10,20,1271.9060540577148,0,73.05362963676453
h100c201.csv,1,10,30,1080.973754798757,0,322.9152338504791
h100c201.csv,1,20,1,2118.0716617751573,0,7.339568614959717
h100c201.csv,1,20,2,2127.5237034083507,0,8.538063049316406
h100c201.csv,1,20,5,1839.5243359302772,0,13.489448547363281
h100c201.csv,1,20,10,1282.6832027226535,0,25.579092979431152
h100c201.csv,1,20,20,1229.1136617114335,0,284.0123212337494
h100c201.csv,1,20,30,1175.3940495412446,0,270.23887729644775
