file_name,seed,ni sta,ni dyn,td,rd,time
h100r201.csv,1,10,10,1519.321060198064,0,10.28553295135498
h100r201.csv,1,10,20,1449.5194606150305,0,24.795401573181152
h100r201.csv,1,10,30,1633.5931994000762,0,48.27509522438049
h100r201.csv,1,20,10,1402.8933162125984,0,11.175662517547607
h100r201.csv,1,20,20,1543.9722705745426,0,26.25370717048645
h100r201.csv,1,20,30,1540.006175153025,0,49.192099809646606
h100r201.csv,1,50,10,1610.466176370221,0,14.753364086151123
h100r201.csv,1,50,20,1285.5674235867712,0,29.883776903152466
h100r201.csv,1,50,30,1346.7530386936824,0,52.24903202056885
h100r201.csv,1,100,10,1420.1105758276499,0,28.414838552474976
h100r201.csv,1,100,20,1471.440091045613,0,42.69003963470459
h100r201.csv,1,100,30,1471.9074638724246,0,953.6373584270477
h100r201.csv,2,10,10,1294.365627910886,0,28.896952152252197
h100r201.csv,2,10,20,1367.9777908348253,0,94.51628851890564
h100r201.csv,2,10,30,1457.5901059820774,0,185.8213348388672
