file_name,seed,td,rd
h100c109.csv,1,1271.4403125871856,0
h100c109.csv,2,1300.1025076468093,0
h100c109.csv,3,1541.5033913206698,0
h100c109.csv,4,1361.0594267227552,0
h100c109.csv,5,1271.3052780151763,0
h100c109.csv,6,1261.4354676412331,0
h100c109.csv,7,1345.8150236468766,0
h100c109.csv,8,1381.57489929675,0
h100c109.csv,9,1167.5484496520162,0
h100c109.csv,10,1268.7863745538045,0
h100c104.csv,1,1230.860528199911,0
h100c104.csv,2,1309.8865749115923,0
h100r102.csv,7,1247.1128042783992,0
h100r102.csv,9,1362.3043508452356,0
h100r103.csv,4,1068.038419542443,1
h100r103.csv,8,1057.0201975115917,0
h100r103.csv,10,1167.3155306143847,0
