data_path, num_vehicle, fheu1, fheu2, fheu3, fheu4, fheu5, fheu6, carbon_heu1, reject_heu1, carbon_heu2, reject_heu2, carbon_heu3, reject_heu3, carbon_heu4, reject_heu4, carbon_heu5, reject_heu5, carbon_heu6, reject_heu6
00C1_2_1.csv,50,  0.06812003652201126,0.1950870657394474,0.1097933251699013,0.22929210859842813,0.16712013388436084,0.18756550653864124,  6738.850381436808,0, 19299.20496955199,0, 10861.426813259724,0, 18253.449464448247,18, 16532.545128752143,0, 18555.126359538706,0
0C1_2_10.csv,50,  0.0752508955008066,0.19663145838378399,0.07772621167945,0.19676589190770502,0.041015422942404636,0.2038450373083672,  7444.278537419956,0, 19451.985729688735,0, 7689.151943634848,0, 19465.28471557023,0, 4057.496335177461,0, 20165.59704831662,0
00C1_2_2.csv,50,  0.16613980046511037,0.18868953567215938,0.1741116980792458,0.18770246397380105,0.14597704497699865,0.1885770569491726,  16435.56455484837,0, 18666.322191806175,0, 17224.19339330228,0, 18568.6750261468,0, 14440.941541574226,0, 18655.19510902697,0
00C1_2_3.csv,50,  0.03731762791963259,0.188517756676576,0.05131078693602688,0.18615835497169586,0.03670548620977889,0.186919621991974,  3691.687849569404,0, 18649.32876360189,0, 5075.976669565333,0, 18415.92232563328,0, 3631.1310500496616,0, 18491.23151235574,0
00C1_2_4.csv,50,  0.0419248197697861,0.19033161607694327,0.039357389284287565,0.1933348775746523,0.022897399037221475,0.19099828700969798,  4147.459427829309,0, 18828.766822301222,0, 3893.4735113519487,0, 19125.867806427257,0, 2265.1506680568486,0, 18894.717985848165,0
00C1_2_5.csv,50,  0.0619128563595276,0.18866195431359067,0.11041891910011681,0.18849241295938474,0.14243383960120362,0.21270409468451762,  6124.798179745989,0, 18663.593675231587,0, 10923.314388641384,0, 18646.82160818945,0, 14090.426008740204,0, 17842.88601959158,13
00C1_2_6.csv,50,  0.056337284383972105,0.18984427348608385,0.11624753586490634,0.18508893191997255,0.09165398971185568,0.18981328104059625,  5573.228520471661,0, 18780.555914439446,0, 11499.916785147134,0, 18310.128460744578,0, 9066.972877067798,0, 18777.489952297336,0
00C1_2_7.csv,50,  0.0902608431010725,0.18520291453942686,0.18398675051346491,0.21725527572629547,0.0691737197424462,0.2192246179963302,  8929.154299028132,0, 18321.404318154582,0, 18201.0939391724,0, 18047.03180991745,14, 6843.0871660082175,0, 18241.851184438998,14
00C1_2_8.csv,50,  0.0834160290546729,0.1907689526681928,0.1115589723281977,0.18756805148629954,0.07130728444202897,0.1895133674705105,  8252.023456144048,0, 18872.030831030956,0, 11036.095422286728,0, 18555.378121316495,0, 7054.1524270339905,0, 18747.820668788987,0
00C1_2_9.csv,50,  0.08540838461670022,0.1911705078751906,0.08720230868159773,0.19288508962171552,0.05806206644659908,0.1960320672965992,  8449.11944617317,0, 18911.755126524702,0, 8626.585379637503,0, 19081.37203289322,0, 5743.854504456174,0, 19392.690299698766,0
