instance,ited,sized,td,tr,obj,time
h200C1_2_1.csv,5,5,5036.730845,0,0.050914068378497955,21.58691192
h200C1_2_1.csv,5,5,4926.125838,0,0.04979601163441116,21.97053504
h200C1_2_1.csv,5,5,4823.317334,1,0.05124432845506521,21.53729057
h200C1_2_1.csv,5,10,5671.903633,0,0.05733474713930499,29.14581561
h200C1_2_1.csv,5,10,5641.558005,0,0.057027996704047124,29.05006766
h200C1_2_1.csv,5,10,4970.478729,0,0.05024435525146185,29.12368965
h200C1_2_1.csv,5,20,4858.833669,0,0.04911578507491481,43.37317085
h200C1_2_1.csv,5,20,4837.655322,0,0.048901702599498845,43.94310212
h200C1_2_1.csv,5,20,5157.915084,0,0.05213906586609792,43.76980376
h200C1_2_1.csv,5,30,4828.472699,0,0.04880887955421342,58.66258144
h200C1_2_1.csv,5,30,4627.212699,0,0.04677443187034944,58.4183526
h200C1_2_1.csv,5,30,5220.351195,0,0.05277020469852078,58.51407266
h200C1_2_1.csv,10,5,5227.628374,0,0.05284376645923633,40.20156503
h200C1_2_1.csv,10,5,4822.666122,1,0.051237745643055346,40.37050939
h200C1_2_1.csv,10,5,4768.757513,0,0.04820524534051369,39.9366219
h200C1_2_1.csv,10,10,4815.867008,1,0.05116901642845917,55.62789059
h200C1_2_1.csv,10,10,4985.425144,0,0.050395441902454687,55.00036883
h200C1_2_1.csv,10,10,4678.857762,0,0.04729648880567369,54.79337883
h200C1_2_1.csv,10,20,4947.392936,1,0.052498553443204574,85.03175044
h200C1_2_1.csv,10,20,4600.513157,0,0.04650453809422836,85.64398479
h200C1_2_1.csv,10,20,4698.189434,0,0.04749190406616072,83.48652482
h200C1_2_1.csv,10,30,4898.940233,0,0.0495212044639516,111.1426461
h200C1_2_1.csv,10,30,4922.475864,0,0.04975911567321438,114.0353591
h200C1_2_1.csv,10,30,5015.791837,0,0.05070240527441364,118.149107
h200C1_2_1.csv,20,5,4790.932922,0,0.04842940667152227,76.37274289
h200C1_2_1.csv,20,5,4757.031317,0,0.048086710448867385,76.43907309
h200C1_2_1.csv,20,5,4662.939011,0,0.04713557324320745,76.79646373
h200C1_2_1.csv,20,10,4535.613077,0,0.045848492096819106,105.8311841
h200C1_2_1.csv,20,10,4648.422216,0,0.046988829429409976,106.0494771
h200C1_2_1.csv,20,10,5075.766894,1,0.05379622859734127,107.9741702
h200C1_2_1.csv,20,20,4731.994623,0,0.047833625662422434,165.4715619
h200C1_2_1.csv,20,20,5148.855421,0,0.05204748576867698,162.2159004
h200C1_2_1.csv,20,20,4613.068762,0,0.046631457111975354,164.2826498
h200C1_2_1.csv,20,30,5014.685548,0,0.05069122229173584,226.2414725
h200C1_2_1.csv,20,30,5216.918201,0,0.05273550209148501,222.8290489
h200C1_2_1.csv,20,30,4795.758868,0,0.04847819000980187,221.3333485
h200C1_2_1.csv,30,5,4802.960913,0,0.048550992274381685,113.072762
h200C1_2_1.csv,30,5,5046.698546,0,0.051014827427553394,113.8333421
h200C1_2_1.csv,30,5,4778.696496,0,0.04830571409210026,113.2348325
h200C1_2_1.csv,30,10,4329.431458,0,0.043764293958938376,155.1060109
h200C1_2_1.csv,30,10,4912.648464,0,0.04965977486446746,155.0696762
h200C1_2_1.csv,30,10,4946.22874,0,0.04999922291540511,157.6541879
h200C1_2_1.csv,30,20,4743.426095,0,0.04794918132044467,242.1239362
h200C1_2_1.csv,30,20,4939.281016,0,0.04992899146852085,243.2239902
h200C1_2_1.csv,30,20,4963.285153,2,0.05514676297433976,251.5685048
h200C1_2_1.csv,30,30,4703.576905,0,0.04754636361052042,327.0097144
h200C1_2_1.csv,30,30,4853.753234,1,0.05155199140975722,339.6162093
h200C1_2_1.csv,30,30,4546.331849,0,0.0459568433880308,323.5016246
h200C1_2_2.csv,5,5,5715.338187,1,0.06026136988577282,21.80482268
h200C1_2_2.csv,5,5,4415.587707,0,0.04463520909969389,21.73660874
h200C1_2_2.csv,5,5,5048.075506,1,0.05351630869184796,22.16341472
h200C1_2_2.csv,5,10,5295.552839,0,0.053530384617325094,28.02276397
h200C1_2_2.csv,5,10,5516.501156,0,0.055763852727104955,28.06829929
h200C1_2_2.csv,5,10,5058.585614,0,0.05113498850258335,27.35248685
h200C1_2_2.csv,5,20,5086.32051,0,0.05141534821106694,41.05214095
h200C1_2_2.csv,5,20,5091.748308,0,0.051470215403105014,40.92654705
h200C1_2_2.csv,5,20,5127.985487,0,0.051836520902887956,41.5378108
h200C1_2_2.csv,5,30,5670.08956,0,0.05731640948347067,53.60098505
h200C1_2_2.csv,5,30,5052.402035,0,0.05107248145709722,53.0307343
h200C1_2_2.csv,5,30,5063.70664,0,0.05118675467313243,52.33210826
h200C1_2_2.csv,10,5,5146.909319,1,0.054515375679551906,40.90772104
h200C1_2_2.csv,10,5,5048.956515,0,0.051037652230307456,38.06143928
h200C1_2_2.csv,10,5,5390.551796,0,0.05449068675405442,35.04825544
h200C1_2_2.csv,10,10,5418.658568,0,0.05477480559136085,52.35582685
h200C1_2_2.csv,10,10,5008.572252,0,0.05062942570578741,53.72755694
h200C1_2_2.csv,10,10,4840.847935,0,0.04893397530208913,54.06935
h200C1_2_2.csv,10,20,4829.694167,0,0.04882122683009292,78.74624801
h200C1_2_2.csv,10,20,4882.112648,0,0.04935110190344142,82.19558954
h200C1_2_2.csv,10,20,5393.637661,0,0.0545218803886662,79.07798982
h200C1_2_2.csv,10,30,5446.274034,0,0.05505395803517743,110.8614678
h200C1_2_2.csv,10,30,5014.025406,0,0.05068454921033404,103.4991908
h200C1_2_2.csv,10,30,5091.744144,0,0.05147017331108397,104.8847265
h200C1_2_2.csv,20,5,4696.750123,0,0.0474773547124376,75.71065164
h200C1_2_2.csv,20,5,5229.111779,0,0.05285876153956266,77.33139873
h200C1_2_2.csv,20,5,4997.408827,0,0.05051657961548016,76.57694507
h200C1_2_2.csv,20,10,5239.621339,0,0.05296499799986491,95.99029255
h200C1_2_2.csv,20,10,5091.945525,0,0.05147220898190293,102.8582299
