file_name,ited,sized,td,rd,obj,time
h100c101.csv,5,5,1473.350182,0,0.05402338228061363,6.12378931
h100c101.csv,5,5,1387.981942,0,0.05089318206040341,5.283890247
h100c101.csv,5,5,1494.756457,0,0.05480828690930084,6.196696281
h100c101.csv,5,10,1664.483967,0,0.06103169141169813,8.44938612
h100c101.csv,5,10,1511.337548,0,0.05541626634872147,8.711606979
h100c101.csv,5,10,1530.972875,0,0.056136235565602356,8.538105011
h100c101.csv,5,20,1691.109646,0,0.06200797610807992,13.77845383
h100c101.csv,5,20,1367.402811,0,0.05013860634948404,12.89588022
h100c101.csv,5,20,1578.474985,0,0.057877997082326264,13.83143425
h100c101.csv,5,30,1502.99653,0,0.05511042595210116,18.75001597
h100c101.csv,5,30,1405.986376,0,0.051553351267025926,18.07950592
h100c101.csv,5,30,1477.859001,0,0.054188707303440484,18.7064116
h100c101.csv,10,5,1491.259757,0,0.05468007328898948,11.31831408
h100c101.csv,10,5,2021.123087,0,0.07410859040785385,10.05938458
h100c101.csv,10,5,1367.486006,0,0.05014165686343772,9.5475564
h100c101.csv,10,10,1497.718599,0,0.054916899872865445,16.41052604
h100c101.csv,10,10,1659.713453,0,0.06085677080921979,15.64661598
h100c101.csv,10,10,1728.939413,0,0.06339508148818265,16.29092693
h100c101.csv,10,20,1554.006932,0,0.056980826133402926,26.42418957
h100c101.csv,10,20,1523.443587,0,0.0558601589010767,26.35200858
h100c101.csv,10,20,1666.721814,0,0.061113746625348984,26.25613737
h100c101.csv,10,30,1367.486006,0,0.05014165686343772,35.86153221
h100c101.csv,10,30,1386.994791,0,0.05085698616041085,35.02131248
h100c101.csv,10,30,1516.108062,0,0.055591186951199814,36.79756641
h100c101.csv,20,5,1662.319614,0,0.06095233100509712,37.18904376
h100c101.csv,20,5,1715.900939,0,0.06291699930930669,37.11843848
h100c101.csv,20,5,1700.053426,0,0.06233591799988314,37.60367799
h100c101.csv,20,10,1708.685892,0,0.062652444930439,54.13605571
h100c101.csv,20,10,1519.714847,0,0.055723437062028515,54.0520637
h100c101.csv,20,10,1644.573009,0,0.060301615623369866,56.11423612
h100c101.csv,20,20,1713.136794,0,0.06281564630861589,88.18078709
h100c101.csv,20,20,1817.779071,0,0.06665256831273239,88.43940306
h100c101.csv,20,20,1667.178217,0,0.061130481569997064,90.04703283
h100c101.csv,20,30,1656.304503,0,0.060731774721205264,121.8804901
h100c101.csv,20,30,1674.678919,0,0.061405510070668176,123.0332572
h100c101.csv,20,30,1649.299021,0,0.06047490446946903,123.4983273
h100c101.csv,30,5,1923.49604,0,0.07052889608572803,55.84342027
h100c101.csv,30,5,1924.805285,0,0.07057690221760224,54.31555605
h100c101.csv,30,5,1234.004388,0,0.04524728174152333,54.61713195
h100c101.csv,30,10,1798.177359,1,0.07088432670772864,82.67395878
h100c101.csv,30,10,1449.857907,0,0.053161990217496964,80.224962
h100c101.csv,30,10,1868.967349,0,0.06852949067950231,82.79134655
h100c101.csv,30,20,2017.577401,0,0.07397858061617961,135.5576127
h100c101.csv,30,20,1587.594483,0,0.05821238203213672,131.2013135
h100c101.csv,30,20,1706.918692,0,0.06258764694667883,131.1011827
h100c101.csv,30,30,1601.771143,0,0.058732198116594414,182.3597896
h100c101.csv,30,30,1796.869318,0,0.06588586967345927,183.6194005
h100c101.csv,30,30,1977.447986,0,0.07250715396301319,186.5562425
h100c102.csv,5,5,1618.899494,0,0.059360243957436845,5.972468615
h100c102.csv,5,5,1560.476174,0,0.05721803405443998,5.706176758
h100c102.csv,5,5,1611.873554,0,0.05910262357150428,5.80287838
h100c102.csv,5,10,1522.412496,0,0.05582235185157847,8.034850836
h100c102.csv,5,10,1531.115979,0,0.05614148276493917,7.944811344
h100c102.csv,5,10,1598.694994,0,0.0586194048544023,7.972787142
h100c102.csv,5,20,1567.724073,0,0.05748379301873235,12.24222207
h100c102.csv,5,20,1648.239261,0,0.060436046212752365,12.26796699
h100c102.csv,5,20,1573.681721,0,0.057702242304808,12.22034454
h100c102.csv,5,30,1516.083759,0,0.05559029583225498,16.48916841
h100c102.csv,5,30,1705.455079,0,0.0625339805979887,16.41720366
h100c102.csv,5,30,1372.457982,0,0.05032396448006516,16.67317295
h100c102.csv,10,5,1602.392639,0,0.05875498653200581,10.7040205
h100c102.csv,10,5,1522.129916,0,0.05581199048090681,10.84940481
h100c102.csv,10,5,1546.788297,0,0.056716140193214665,10.82023931
h100c102.csv,10,10,1534.374976,0,0.056260980521096085,16.22824454
h100c102.csv,10,10,1490.947558,0,0.0546686258774164,14.72967458
h100c102.csv,10,10,1689.215474,0,0.061938522437587046,15.08491969
h100c102.csv,10,20,1497.835089,0,0.05492117121574017,23.64550734
h100c102.csv,10,20,1487.399994,0,0.054538547225050964,23.44786477
h100c102.csv,10,20,1470.152018,0,0.053906115090179944,23.37303662
h100c102.csv,10,30,1323.957628,0,0.04854560031593254,32.15078759
h100c102.csv,10,30,1618.284862,0,0.059337707224551776,32.13394761
h100c102.csv,10,30,1384.853475,0,0.05077847045228872,32.60038972
h100c102.csv,20,5,1961.023986,0,0.07190493458474403,36.12850571
h100c102.csv,20,5,1697.78205,0,0.06225263337722511,36.25693774
h100c102.csv,20,5,1715.036284,0,0.0628852949743994,33.8682282
h100c102.csv,20,10,1687.391844,0,0.06187165533305752,50.66786647
h100c102.csv,20,10,1709.855031,0,0.06269531379074651,49.3555131
h100c102.csv,20,10,1772.146781,0,0.06497936755087182,51.43015981
h100c102.csv,20,20,1352.890967,0,0.04960650006166018,78.24595594
h100c102.csv,20,20,2013.36717,0,0.07382420392991625,81.83345962
h100c102.csv,20,20,1728.23351,0,0.0633691981183715,81.21374249
h100c102.csv,20,30,1841.6367,0,0.06752735682365278,107.3675447
h100c102.csv,20,30,1846.747998,0,0.06771477296489173,111.3146858
h100c102.csv,20,30,1446.526054,0,0.053039821047858364,105.9917953
h100c102.csv,30,5,1508.291226,0,0.055304566754174,54.27355957
h100c102.csv,30,5,1840.313812,0,0.06747885044342386,53.58304381
h100c102.csv,30,5,1710.978906,0,0.06273652295439436,52.21707821
h100c102.csv,30,10,2014.271091,0,0.07385734803260892,76.91102004
