data_path, num_vehicle,carbon_upper, reject_upper
h100c101.csv,25, 13636.226757767385,101
h100c102.csv,25, 13636.226757767385,101
h100c103.csv,25, 13636.226757767385,101
h100c104.csv,25, 13636.226757767388,101
h100c105.csv,25, 13636.226757767385,101
h100c106.csv,25, 13636.226757767385,101
h100c107.csv,25, 13636.226757767385,101
h100c108.csv,25, 13636.226757767385,101
h100c109.csv,25, 13636.226757767385,101
h100c201.csv,25, 13716.425202367747,101
h100c202.csv,25, 13716.425202367745,101
h100c203.csv,25, 13716.425202367747,101
h100c204.csv,25, 13716.42520236775,101
h100c205.csv,25, 13716.42520236775,101
h100c206.csv,25, 13716.42520236775,101
h100c207.csv,25, 13716.42520236775,101
h100c208.csv,25, 13716.42520236775,101
h100r101.csv,25, 12542.466930482082,101
h100r102.csv,25, 12542.46693048208,101
h100r103.csv,25, 12542.466930482075,101
h100r104.csv,25, 12542.466930482078,101
h100r105.csv,25, 12542.46693048208,101
h100r106.csv,25, 12542.46693048208,101
h100r107.csv,25, 12542.46693048208,101
h100r108.csv,25, 12542.466930482078,101
h100r109.csv,25, 12542.46693048208,101
h100r110.csv,25, 12542.46693048208,101
h100r111.csv,25, 12542.466930482075,101
h100r112.csv,25, 12542.46693048208,101
h100r201.csv,25, 12542.46693048208,101
h100r202.csv,25, 12542.466930482078,101
h100r203.csv,25, 12542.466930482078,101
h100r204.csv,25, 12542.46693048208,101
h100r205.csv,25, 12542.46693048208,101
h100r206.csv,25, 12542.466930482078,101
h100r207.csv,25, 12542.466930482078,101
h100r208.csv,25, 12542.46693048208,101
h100r209.csv,25, 12542.46693048208,101
h100r210.csv,25, 12542.466930482075,101
h100r211.csv,25, 12542.466930482078,101
100rc101.csv,25, 14349.368857055539,101
100rc102.csv,25, 14349.368857055539,101
100rc103.csv,25, 14349.368857055539,101
100rc104.csv,25, 14349.368857055537,101
100rc105.csv,25, 14349.368857055539,101
100rc106.csv,25, 14349.368857055537,101
100rc107.csv,25, 14349.36885705554,101
100rc108.csv,25, 14349.368857055537,101
100rc201.csv,25, 14349.36885705554,101
100rc202.csv,25, 14349.368857055537,101
100rc203.csv,25, 14349.368857055539,101
100rc204.csv,25, 14349.368857055539,101
100rc205.csv,25, 14349.368857055537,101
100rc206.csv,25, 14349.368857055539,101
100rc207.csv,25, 14349.368857055539,101
100rc208.csv,25, 14349.368857055537,101
