file_name,seed,td,rd
h100r102.csv,3,1295.792,0
h100r102.csv,4,1280.147,0
h100r102.csv,5,1263.962,0
h100r102.csv,6,1422.446,0
h100r102.csv,7,1247.113,0
h100r102.csv,8,1264.268,0
h100r102.csv,9,1362.304,0
h100r102.csv,10,1155.874,0
h100r103.csv,1,1063.704,0
h100r103.csv,2,1041.318,0
h100r103.csv,3,1087.179,0
h100r103.csv,4,1068.038,0
h100r103.csv,5,953.112,0
h100r103.csv,6,1143.617,0
h100r103.csv,7,1116.921,0
h100r103.csv,8,1057.02,0
h100r103.csv,9,990.794,0
h100r103.csv,10,1167.316,0
h100r104.csv,1,841.03,0
h100r104.csv,2,896.139,0
h100r104.csv,3,930.898,0
h100r104.csv,4,842.31,0
h100r104.csv,5,914.505,0
h100r104.csv,6,944.551,0
h100r104.csv,7,958.662,0
h100r104.csv,8,933.395,0
h100r104.csv,9,915.285,0
h100r104.csv,10,973.611,0
h100r105.csv,1,1403.827,0
h100r105.csv,2,1222.944,0
h100r105.csv,3,1102.645,0
h100r105.csv,4,1202.266,0
h100r105.csv,5,1159.071,0
h100r105.csv,6,1432.852,0
h100r105.csv,7,1202.834,0
h100r105.csv,8,1266.504,0
h100r105.csv,9,1118.782,0
h100r105.csv,10,1375.366,0
h100r106.csv,1,1097.309,0
h100r106.csv,2,1288.548,0
h100r106.csv,3,1128.776,0
h100r106.csv,4,1242.111,0
h100r106.csv,5,984.982,0
h100r106.csv,6,1122.057,0
h100r106.csv,7,1093.451,0
h100r106.csv,8,1268.937,0
h100r106.csv,9,1169.342,0
h100r106.csv,10,1089.431,0
h100r107.csv,1,1013.716,0
h100r107.csv,2,1116.303,0
h100r107.csv,3,962.725,0
h100r107.csv,4,1101.996,0
h100r107.csv,5,1032.395,0
h100r107.csv,6,1056.646,0
h100r107.csv,7,1125.027,0
h100r107.csv,8,1012.092,0
h100r107.csv,9,1101.097,0
h100r107.csv,10,1189.213,0
h100r108.csv,1,897.2144655,0
h100r108.csv,2,824.711,0
h100r108.csv,3,892.801,0
h100r108.csv,4,883.8044491,0
h100r108.csv,5,978.61,0
h100r108.csv,6,941.127,0
h100r108.csv,7,894.9357092,0
h100r108.csv,8,901.635,0
